English ,Spanish ,Chinese 
Former Chief of Prevention at the City of Berkeley Public Health Division,Ex jefe de prevención de la división de salud pública de la ciudad de Berkeley,伯克利市公共卫生部门的前预防主任
"If you are experiencing an emergency or require urgent care, please call 911 or go to the nearest hospital. If you are experiencing suicidal thoughts or seek mental health assistance, please call the local suicide prevention hotline at 415-781-0500, or call or text the national hotline at 988. If you seek further assistance, please utilize our hotlines resources page.","Si usted está experimentando una emergencia o requiere atención urgente, por favor llame al 911 o vaya al hospital más cercano. Si usted está experimentando pensamientos suicidas o busca ayuda para la salud mental, por favor llame a la línea local de ayuda para la prevención del suicidio al 415-781-0500, o llame o envíe un mensaje de texto a la línea nacional de ayuda al 988. Si busca más ayuda, por favor utilice nuestra página de recursos de líneas directas.",如果您遇到紧急情况或需要紧急护理，请拨打911或前往最近的医院。如果您有自杀念头或寻求心理健康援助，请拨打当地自杀预防热线415-781-0500，或拨打或发短信拨打全国热线988。如果您需要进一步的帮助，请使用我们的热线资源页面。
BERKELEY FREE CLINIC,BERKELEY FREE CLINIC (en inglés),伯克利免费诊所
2339 Durant Avenue,2339 Durant Avenue,杜兰特大道2339号
"Berkeley, CA 94704","Berkeley, CA 94704",伯克利，加州94704
Phone: (510) 548-2570,Teléfono: (510) 548-2570,电话:(510)548-2570
Toll-free: (800) 6-CLINIC,Gratuito: (800) 6-CLINIC,免费电话:(800)6-CLINIC
Fax: (510) 548-1730,Fax: (510) 548-1730,传真:(510)548-1730
info@berkeleyfreeclinic.org,info@berkeleyfreeclinic.org,info@berkeleyfreeclinic.org
© 2024 Berkeley Free Clinic,£2024 Berkeley Free Clinic (en inglés),©2024伯克利自由诊所
INFO,INFO,信息
Mission,La misión,任务
Services,servicios,服务
Resources,Recursos recursos,资源
Client Portal,Portal del cliente,客户门户网站
ACTION,acción,行动
Volunteer,voluntario,志愿者
Donate,donar,捐赠
CONNECT,conectar,连接
